City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
322,yeniseysk,44,RU,1549066206,45,58.45,92.17,-28.07,4.85
323,angoche,100,MZ,1549066207,100,-16.23,39.91,81.02,3.62
324,cherskiy,32,RU,1549066207,44,68.75,161.3,-28.02,1.28
325,kaele,0,CM,1549066207,44,10.11,14.45,69.45,6.31
326,lazaro cardenas,20,MX,1549065120,26,28.39,-105.62,69.8,10.29
327,innisfail,90,CA,1549062000,77,52.02,-113.95,1.4,8.05
328,sampit,80,ID,1549066211,100,-2.54,112.95,73.5,5.75
329,sambava,80,MG,1549066211,100,-14.27,50.17,76.97,16.71
330,katobu,32,ID,1549066212,100,-4.94,122.53,80.93,3.06
331,fare,92,PF,1549066213,97,-16.7,-151.02,83.45,18.5
332,itaituba,75,BR,1549062000,94,-4.26,-55.99,77.0,4.7
333,dubbo,0,AU,1549064520,51,-32.25,148.6,84.2,17.22
334,kahului,75,US,1549063560,78,20.89,-156.47,82.94,13.87
335,viedma,0,AR,1549066214,49,-40.81,-62.99,62.84,5.41
336,pyapon,0,MM,1549066217,96,16.29,95.68,68.55,3.74
337,neftcala,92,AZ,1549066217,98,39.37,49.25,46.37,2.95
338,antofagasta,40,CL,1549062000,68,-23.65,-70.4,71.6,13.87
339,pringsewu,92,ID,1549066218,96,-5.36,104.98,73.23,1.61
340,north myrtle beach,1,US,1549065360,79,33.83,-78.68,50.9,4.63
341,nanakuli,75,US,1549062660,83,21.39,-158.15,78.08,11.41
342,bonavista,48,CA,1549066219,100,48.65,-53.11,18.87,20.51
343,palu,36,ID,1549066219,86,-0.9,119.87,69.63,2.17
344,saint-francois,90,FR,1549063800,93,46.42,3.91,32.0,3.4
345,nome,1,US,1549065300,75,30.04,-94.42,67.82,8.05
346,chegdomyn,0,RU,1549066220,36,51.13,133.04,-25.46,1.61
347,jacksonville beach,1,US,1549065180,93,30.29,-81.39,59.0,6.93
348,igis,75,CH,1549065000,92,46.95,9.57,37.4,5.82
349,floresta,36,BR,1549066188,83,-8.6,-38.57,75.12,8.1
350,santiago,0,CL,1549062000,32,-33.44,-70.65,84.2,6.93
351,russell,40,AR,1549062000,58,-33.01,-68.8,87.8,5.82
352,kalaleh,0,IR,1549062000,100,37.38,55.49,41.0,2.24
353,pathein,0,MM,1549066223,89,16.78,94.73,63.78,2.95
354,ketchikan,1,US,1549061760,48,55.34,-131.65,30.92,18.34
355,eufaula,90,US,1549065180,57,31.89,-85.15,61.34,4.29
356,karratha,0,AU,1549066227,61,-20.74,116.85,83.81,8.21
357,marsh harbour,0,BS,1549066227,100,26.54,-77.06,73.82,20.29
358,findlay,1,US,1549065360,92,41.04,-83.65,15.08,3.29
359,andra,44,RU,1549066228,43,62.52,65.89,-26.9,6.98
360,neya,92,RU,1549066228,92,58.29,43.89,22.16,4.18
361,katherine,40,AU,1549063800,74,-14.47,132.26,84.2,10.29
362,camocim,48,BR,1549066232,94,-2.9,-40.84,76.16,7.99
363,ternate,20,PH,1549062000,73,14.29,120.72,75.2,4.7
364,rock hill,40,US,1549065900,45,34.92,-81.03,55.94,3.4
365,batemans bay,92,AU,1549066234,100,-35.71,150.18,67.07,1.72
366,pishva,0,IR,1549063800,42,35.31,51.73,44.6,4.7
367,bitung,40,ID,1549063800,94,1.44,125.19,75.2,1.12
368,ust-nera,12,RU,1549066238,0,64.57,143.24,-49.08,2.06
369,half moon bay,90,US,1549065360,69,37.46,-122.43,59.0,12.75
370,makaha,75,US,1549062660,83,21.47,-158.22,78.08,11.41
371,manadhoo,0,MV,1549066239,100,5.77,73.38,80.52,7.09
372,oleksandrivka,92,UA,1549066239,99,48.74,37.49,32.33,6.76
373,sioux lookout,90,CA,1549064760,84,50.1,-91.92,5.0,4.7
374,llandrindod wells,0,GB,1549066240,95,52.24,-3.38,25.22,7.65
375,inhambane,44,MZ,1549066240,96,-23.87,35.38,76.47,8.66
376,lorengau,68,PG,1549066241,100,-2.02,147.27,80.75,12.01
377,zyryanka,80,RU,1549066244,67,65.73,150.89,-22.58,9.78
378,pangody,56,RU,1549066245,0,65.85,74.49,-43.46,3.51
379,mocuba,32,MZ,1549066245,94,-16.84,36.99,73.32,2.62
380,nadym,0,RU,1549066246,0,65.53,72.51,-51.02,3.06
381,berdigestyakh,20,RU,1549066246,80,62.1,126.7,-38.96,6.31
382,mareeba,90,AU,1549063800,94,-16.99,145.42,80.6,11.41
383,berlevag,12,NO,1549066247,100,70.86,29.09,12.93,8.1
384,tupik,48,RU,1549066247,65,54.43,119.94,-23.97,2.62
385,hasaki,20,JP,1549063800,60,35.73,140.83,39.2,4.7
386,wucheng,0,CN,1549066257,85,29.09,119.57,33.59,2.17
387,wuwei,8,CN,1549066257,54,37.93,102.64,-5.25,3.96
388,narsaq,76,GL,1549065000,79,60.91,-46.05,23.0,8.05
389,chai badan,0,TH,1549066270,77,15.2,101.13,64.19,5.97
390,havre-saint-pierre,90,CA,1549062000,53,50.23,-63.6,-4.01,13.87
391,huichapan,20,MX,1549065300,31,20.38,-99.65,69.8,10.29
392,madera,90,US,1549065180,62,36.96,-120.06,62.06,10.29
393,usinsk,80,RU,1549066220,78,66.0,57.56,-12.0,3.29
394,bougouni,0,ML,1549066272,65,11.42,-7.49,69.5,3.06
